               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.056713,            0.084444,            0.035602,             0.57191,             0.40944,             0.42662,             0.21675,            0.053222,            0.053908,            0.023252,           0.0084759,           0.0084759,           0.0084759
                  83,            0.056663,            0.084925,            0.035504,             0.57528,             0.40801,             0.42697,             0.21681,             0.05322,            0.053898,            0.023232,           0.0084404,           0.0084404,           0.0084404
                  84,            0.056641,            0.084337,            0.035519,             0.58068,             0.40532,             0.42695,             0.21641,            0.053249,            0.053883,            0.023211,           0.0084046,           0.0084046,           0.0084046
                  85,            0.056593,            0.084289,            0.035466,             0.57858,             0.40693,             0.42713,             0.21605,            0.053295,            0.053867,            0.023191,           0.0083684,           0.0083684,           0.0083684
                  86,            0.056572,            0.084258,             0.03556,             0.57124,             0.41073,             0.42717,             0.21613,            0.053314,            0.053853,            0.023176,           0.0083319,           0.0083319,           0.0083319
                  87,            0.056661,            0.084383,            0.035545,             0.57324,             0.41054,             0.42755,             0.21645,            0.053296,            0.053839,            0.023156,           0.0082952,           0.0082952,           0.0082952
                  88,            0.056526,            0.084246,            0.035379,             0.57779,             0.40883,             0.42807,             0.21667,             0.05328,            0.053836,             0.02313,           0.0082581,           0.0082581,           0.0082581
                  89,             0.05646,            0.084345,             0.03528,             0.58163,             0.40713,             0.42828,             0.21725,            0.053231,            0.053833,            0.023118,           0.0082207,           0.0082207,           0.0082207
                  90,            0.056587,            0.084473,            0.035334,               0.568,             0.41319,             0.42861,             0.21747,            0.053242,            0.053818,            0.023095,            0.008183,            0.008183,            0.008183
                  91,            0.056553,            0.084475,            0.035097,             0.56929,             0.41355,             0.42897,             0.21772,            0.053233,            0.053806,            0.023074,            0.008145,            0.008145,            0.008145
                  92,            0.056543,            0.084417,             0.03531,              0.5804,              0.4083,             0.42944,             0.21794,            0.053222,            0.053795,            0.023058,           0.0081068,           0.0081068,           0.0081068
                  93,            0.056432,            0.084393,            0.035006,             0.57239,             0.41235,             0.42974,             0.21801,            0.053233,            0.053776,            0.023029,           0.0080682,           0.0080682,           0.0080682
                  94,            0.056429,            0.084044,            0.035177,             0.57443,             0.41163,             0.42991,             0.21794,            0.053239,            0.053772,            0.023007,           0.0080294,           0.0080294,           0.0080294
                  95,            0.056422,            0.084436,             0.03514,             0.56256,             0.41818,             0.43024,             0.21828,            0.053201,            0.053778,            0.022994,           0.0079903,           0.0079903,           0.0079903
                  96,            0.056451,            0.084317,             0.03514,             0.56604,             0.41687,              0.4307,             0.21895,            0.053151,            0.053778,            0.022974,           0.0079509,           0.0079509,           0.0079509
                  97,            0.056409,            0.084361,            0.035037,             0.56584,             0.41729,             0.43089,             0.21928,            0.053131,            0.053772,            0.022947,           0.0079112,           0.0079112,           0.0079112
                  98,             0.05638,            0.084257,            0.034955,             0.57118,             0.41449,             0.43108,             0.21932,            0.053135,            0.053775,            0.022925,           0.0078713,           0.0078713,           0.0078713
                  99,            0.056326,            0.084158,            0.034924,             0.56802,             0.41688,             0.43136,             0.21946,            0.053114,            0.053759,            0.022911,           0.0078311,           0.0078311,           0.0078311
                 100,            0.056338,            0.084305,            0.034857,              0.5653,             0.41877,             0.43168,             0.21987,            0.053098,            0.053749,            0.022901,           0.0077907,           0.0077907,           0.0077907
                 101,            0.056317,            0.083975,            0.034915,             0.56567,             0.41923,             0.43214,             0.21989,            0.053102,            0.053737,            0.022875,             0.00775,             0.00775,             0.00775
                 102,             0.05623,            0.084098,            0.034953,             0.56565,             0.41959,             0.43249,             0.22013,            0.053076,            0.053718,            0.022851,           0.0077091,           0.0077091,           0.0077091
                 103,            0.056213,            0.084206,            0.034788,             0.56753,             0.41891,              0.4325,             0.22029,            0.053058,             0.05372,            0.022832,           0.0076679,           0.0076679,           0.0076679
                 104,            0.056215,            0.083816,            0.034802,             0.57629,             0.41555,             0.43296,             0.22016,            0.053071,            0.053727,            0.022811,           0.0076265,           0.0076265,           0.0076265
                 105,            0.056134,             0.08377,            0.034595,             0.57396,             0.41708,             0.43365,             0.22049,            0.053062,            0.053729,            0.022774,           0.0075848,           0.0075848,           0.0075848
                 106,            0.056173,            0.084142,            0.034651,             0.57415,             0.41799,              0.4342,             0.22054,            0.053082,            0.053713,            0.022749,            0.007543,            0.007543,            0.007543
                 107,            0.056157,            0.083657,            0.034697,             0.57435,              0.4185,             0.43422,             0.22041,              0.0531,            0.053703,             0.02273,           0.0075009,           0.0075009,           0.0075009
                 108,            0.056106,            0.083738,            0.034624,             0.57722,             0.41745,             0.43451,             0.22035,            0.053118,            0.053699,            0.022713,           0.0074585,           0.0074585,           0.0074585
                 109,             0.05611,            0.083859,            0.034593,             0.57625,             0.41767,             0.43465,             0.22024,            0.053143,             0.05369,             0.02269,            0.007416,            0.007416,            0.007416
                 110,            0.056181,            0.084079,            0.034548,             0.58019,             0.41615,             0.43478,             0.22049,            0.053124,            0.053695,            0.022675,           0.0073733,           0.0073733,           0.0073733
                 111,            0.056116,             0.08398,            0.034584,             0.57749,             0.41816,             0.43523,             0.22079,            0.053091,            0.053685,            0.022653,           0.0073303,           0.0073303,           0.0073303
                 112,            0.056078,            0.084051,            0.034491,             0.57572,             0.41938,             0.43555,             0.22116,            0.053055,             0.05368,             0.02264,           0.0072872,           0.0072872,           0.0072872
                 113,            0.055963,            0.083862,            0.034368,             0.57018,             0.42248,             0.43609,             0.22166,            0.053032,            0.053677,            0.022621,           0.0072438,           0.0072438,           0.0072438
                 114,            0.055953,            0.083844,            0.034432,             0.58202,              0.4169,             0.43629,               0.222,            0.053001,            0.053673,            0.022599,           0.0072003,           0.0072003,           0.0072003
                 115,            0.056021,            0.083889,            0.034382,             0.58189,             0.41762,              0.4368,             0.22251,            0.052967,            0.053663,            0.022579,           0.0071566,           0.0071566,           0.0071566
                 116,               0.056,            0.083885,            0.034405,             0.57466,             0.42168,             0.43721,             0.22287,            0.052963,            0.053655,            0.022562,           0.0071127,           0.0071127,           0.0071127
                 117,            0.055947,            0.083928,            0.034292,             0.58577,             0.41622,             0.43744,             0.22272,               0.053,            0.053642,            0.022547,           0.0070686,           0.0070686,           0.0070686
                 118,            0.055871,            0.083633,            0.034351,             0.57891,             0.41981,             0.43781,             0.22296,            0.052987,            0.053631,            0.022533,           0.0070243,           0.0070243,           0.0070243
                 119,            0.055866,            0.083765,            0.034056,             0.57444,             0.42266,             0.43827,             0.22292,            0.052984,            0.053624,            0.022514,           0.0069799,           0.0069799,           0.0069799
                 120,            0.055878,            0.083673,            0.034141,              0.5633,             0.42929,             0.43879,             0.22325,            0.052963,            0.053612,            0.022489,           0.0069353,           0.0069353,           0.0069353
                 121,            0.055869,            0.083742,            0.034244,              0.5777,             0.42192,             0.43898,             0.22361,            0.052937,            0.053616,            0.022469,           0.0068906,           0.0068906,           0.0068906
                 122,              0.0558,            0.083799,            0.033958,              0.5907,             0.41613,             0.43925,             0.22403,            0.052917,            0.053608,            0.022449,           0.0068457,           0.0068457,           0.0068457
                 123,            0.055762,            0.083567,            0.034088,             0.57561,             0.42392,              0.4395,             0.22433,            0.052888,            0.053602,            0.022428,           0.0068006,           0.0068006,           0.0068006
                 124,            0.055783,            0.083662,            0.033851,             0.57811,             0.42331,             0.43954,             0.22439,            0.052866,            0.053602,            0.022407,           0.0067555,           0.0067555,           0.0067555
                 125,            0.055739,            0.083469,            0.034152,             0.57471,             0.42562,             0.43994,             0.22476,             0.05282,            0.053597,             0.02239,           0.0067101,           0.0067101,           0.0067101
                 126,            0.055658,            0.083668,            0.033971,              0.5919,             0.41789,             0.44048,             0.22492,             0.05282,            0.053583,            0.022376,           0.0066647,           0.0066647,           0.0066647
                 127,            0.055686,            0.083553,             0.03383,             0.58285,             0.42242,             0.44059,             0.22481,            0.052848,            0.053572,            0.022364,           0.0066191,           0.0066191,           0.0066191
