               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,             0.05674,            0.084098,            0.035891,             0.55775,             0.40978,             0.42027,             0.21154,             0.05372,            0.054687,            0.023544,           0.0087479,           0.0087479,           0.0087479
                  75,            0.056814,            0.084209,            0.035805,             0.55096,             0.41338,             0.42064,             0.21192,            0.053703,            0.054695,            0.023526,           0.0087151,           0.0087151,           0.0087151
                  76,            0.056687,            0.083921,             0.03582,             0.56228,             0.40836,             0.42064,             0.21174,             0.05373,            0.054689,            0.023509,            0.008682,            0.008682,            0.008682
                  77,            0.056783,            0.084343,            0.035705,             0.56852,             0.40549,              0.4209,             0.21188,            0.053713,            0.054685,            0.023487,           0.0086485,           0.0086485,           0.0086485
                  78,            0.056697,            0.084156,            0.035757,             0.56544,              0.4074,             0.42129,             0.21207,             0.05372,            0.054667,            0.023463,           0.0086146,           0.0086146,           0.0086146
                  79,            0.056622,            0.084284,            0.035634,             0.55859,              0.4114,             0.42153,             0.21237,             0.05371,            0.054654,            0.023452,           0.0085805,           0.0085805,           0.0085805
                  80,             0.05662,            0.084172,            0.035695,              0.5605,             0.41032,             0.42204,              0.2129,            0.053667,            0.054651,            0.023425,           0.0085459,           0.0085459,           0.0085459
                  81,            0.056639,            0.084295,            0.035644,             0.56616,             0.40846,             0.42261,              0.2134,            0.053636,            0.054643,            0.023403,           0.0085111,           0.0085111,           0.0085111
                  82,            0.056547,            0.083728,            0.035602,             0.55804,             0.41304,             0.42307,             0.21348,            0.053634,             0.05463,            0.023384,           0.0084759,           0.0084759,           0.0084759
                  83,            0.056595,            0.084077,            0.035697,             0.56241,              0.4108,             0.42338,             0.21378,            0.053591,            0.054632,            0.023373,           0.0084404,           0.0084404,           0.0084404
                  84,            0.056521,            0.084046,            0.035552,             0.55545,             0.41438,             0.42347,             0.21404,             0.05358,            0.054626,            0.023359,           0.0084046,           0.0084046,           0.0084046
                  85,            0.056538,            0.083959,            0.035436,             0.55524,             0.41446,             0.42367,             0.21401,            0.053581,            0.054613,            0.023341,           0.0083684,           0.0083684,           0.0083684
                  86,            0.056487,            0.084461,            0.035455,             0.56438,             0.41038,             0.42405,             0.21418,            0.053553,            0.054606,            0.023323,           0.0083319,           0.0083319,           0.0083319
                  87,            0.056502,              0.0839,            0.035522,             0.56927,             0.40857,             0.42446,             0.21439,             0.05355,            0.054598,              0.0233,           0.0082952,           0.0082952,           0.0082952
                  88,            0.056472,            0.083949,            0.035435,             0.56366,             0.41159,             0.42475,             0.21472,            0.053535,            0.054599,            0.023288,           0.0082581,           0.0082581,           0.0082581
                  89,            0.056418,             0.08372,            0.035395,             0.55448,              0.4163,             0.42505,             0.21478,            0.053535,            0.054596,             0.02327,           0.0082207,           0.0082207,           0.0082207
                  90,            0.056443,            0.083931,            0.035235,             0.55853,              0.4144,             0.42534,             0.21533,            0.053491,            0.054589,            0.023242,            0.008183,            0.008183,            0.008183
                  91,            0.056403,            0.083907,            0.035354,             0.55769,             0.41584,             0.42578,             0.21563,            0.053475,            0.054575,            0.023219,            0.008145,            0.008145,            0.008145
                  92,            0.056365,             0.08369,            0.035246,             0.56979,             0.41011,             0.42605,             0.21585,            0.053473,            0.054562,            0.023199,           0.0081068,           0.0081068,           0.0081068
                  93,            0.056461,            0.084136,            0.035141,             0.55881,              0.4164,             0.42653,             0.21624,            0.053441,            0.054561,            0.023187,           0.0080682,           0.0080682,           0.0080682
                  94,            0.056296,            0.083825,            0.035194,             0.55189,             0.42021,              0.4269,             0.21617,             0.05344,            0.054559,            0.023169,           0.0080294,           0.0080294,           0.0080294
                  95,            0.056322,            0.083946,            0.035128,             0.55851,             0.41712,             0.42714,             0.21632,            0.053438,            0.054556,            0.023145,           0.0079903,           0.0079903,           0.0079903
                  96,            0.056286,            0.083833,            0.035149,             0.56325,             0.41486,             0.42708,             0.21646,            0.053427,             0.05454,            0.023123,           0.0079509,           0.0079509,           0.0079509
                  97,            0.056178,            0.083486,             0.03509,             0.56329,             0.41516,             0.42732,             0.21674,            0.053407,            0.054531,            0.023105,           0.0079112,           0.0079112,           0.0079112
                  98,            0.056247,            0.083822,             0.03508,             0.56275,             0.41566,             0.42767,             0.21719,            0.053369,             0.05453,            0.023093,           0.0078713,           0.0078713,           0.0078713
                  99,            0.056135,            0.083685,            0.034851,             0.55903,             0.41803,             0.42808,             0.21742,            0.053356,            0.054514,            0.023069,           0.0078311,           0.0078311,           0.0078311
                 100,             0.05615,            0.083516,             0.03494,             0.56332,             0.41629,             0.42822,             0.21767,            0.053344,            0.054499,            0.023053,           0.0077907,           0.0077907,           0.0077907
                 101,            0.056156,            0.083589,            0.034851,             0.56934,             0.41408,             0.42853,             0.21821,            0.053309,            0.054496,            0.023033,             0.00775,             0.00775,             0.00775
